The Art of Agile Development;O'Reilly;James Shore & Shane Warden;2008;;;;http://www.amazon.de/The-Art-Agile-Development-Shore/dp/0596527675
Seven Languages in Seven Weeks;Pragmatic Bookshelf;Bruce A. Tate;2010;;;;http://www.amazon.de/Seven-Languages-Weeks-Programming-Programmers/dp/193435659X
Managing Software Debt, Building for Inevitable Change;Addison Wesley;Chris Sterling;2011;;;;http://www.amazon.de/Managing-Software-Debt-Inevitable-Development/dp/0321554132
Driving Technical Change;Pragmatic Bookshelf;Terrence Ryan;2010;;;;http://www.amazon.de/Driving-Technical-Change-People-Convince/dp/1934356603
The Unified Modeling Language User Guide ;Addison Wesley;Grady Booch, James Rumbaugh, Ivar Jacobson;1999;;;;http://www.amazon.de/Unified-Modeling-Language-Addison-Wesley-Technology/dp/0201571684
The Unified Modeling Language Reference Manual ;Addison Wesley;James Rumbaugh, Ivar Jacobson, Grady Booch;1999;;;;http://www.amazon.com/Unified-Modeling-Language-Reference-paperback/dp/032171895X
Lessons Learned in SOFTWARE TESTING, A Context-Driven Approach;John Wiley & Sons;Cem Kaner, James Bach, Bret Pettichord;2002;;;;http://www.amazon.de/Lessons-Learned-Software-Testing-Context-Driven/dp/0471081124
The Principles of Product Development Flow: Second Generation Lean Product Development (2 Exemplare);Celeritas Publishing;Donald G. Reinertsen;2009;;;;http://www.amazon.de/Principles-Product-Development-Flow-Generation/dp/1935401009/ref=sr_1_1?s=books-intl-de&ie=UTF8&qid=1366815783&sr=1-1&keywords=don+reinertsen
Practical Software Reuse;Springer;Michel Ezran, Maurizio Morisio, Colin Tully;2009;;;;http://www.amazon.de/Practical-Software-Reuse-Practitioner-Series/dp/1852335025
Web-Sicherheit: Wie Sie Ihre Webandwendungen sicher vor Angriffen sch�tzen;mitp;Sebastian K�beck;2011;;;;http://www.amazon.de/dp/3826690249/
Use the Index Luke! A Guide to Database Performance;eBook;Markus Winand ;;;;;http://use-the-index-luke.com/sql/table-of-contents
Impact Mapping (3 Exemplare);Neuri Limited;Gojko Adzic;2012;;;;http://www.amazon.de/gp/product/0955683645/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=0955683645&linkCode=as2&tag=antograbhaid-21&linkId=6G3EAXQK6ZX2HZXQ
Basiswissen Modellbasierter Test;dpunkt Verlag;Thomas Ro�ner, Christian Brandes, Helmut G�tz, Mario Winter;2010;;;;http://www.amazon.de/gp/product/3898645894/ref=as_li_tl?ie=UTF8&camp=1638&creative=19454&creativeASIN=3898645894&linkCode=as2&tag=antograbhaid-21&linkId=7TSJNS7QGQUR5OHU
The art of application performance testing;O'Reilly;Ian Molyneaux;2009;;;;a
OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide;Sybex; Jeanne Boyarsky;2015;;;;http://www.amazon.de/OCA-Certified-Associate-Programmer-1Z0-808/dp/1118957407
Professionell entwickeln mit JavaScript;Rheinwerk Computing;Philip Ackermann;2015;;;;http://www.amazon.de/Professionell-entwickeln-mit-JavaScript-Enterprise-f%C3%A4higen/dp/3836223791
Hudson Continuous Integration in Practice;Oracle Press;Ed Burns, Winston Prakash;2014;;;;http://www.amazon.de/Hudson-Continuous-Integration-Practice-Burns/dp/0071804285
Lucene in Action;Manning;Erik Hatcher, Otis Gospodnetic, Mike McCandless;2010;;;;http://www.amazon.de/Lucene-Action-Erik-Hatcher/dp/1933988177
Agile Web Development with Rails;Pragmatic Bookshelf;Sam Ruby, Dave Thomas, David Heinemeier Hansson;2011;;;;http://www.amazon.de/Agile-Development-Rails-Pragmatic-Programmers/dp/1934356549
Programming Ruby 1.9: The Pragmatic Programmers' Guide;Pragmatic Bookshelf;Dave Thomas, Chad Fowler, Andy Hunt;2010;;;;http://www.amazon.de/Programming-Ruby-1-9-Pragmatic-Programmers/dp/1934356085
JBOSS in Action;Manning;Javid Jamae, Peter Johnson;2009;;;;http://www.amazon.de/JBoss-Action-Configuring-Application-Server/dp/1933988029
HarnessingHibernate;O'Reilly;James Elliott, Ryan Fowler, Tim O'Brien;2008;;;;http://www.amazon.de/Harnessing-Hibernate-James-Elliott/dp/0596517726
Selenium, Web-Applikationen automatisiert testen;open source press;Michael Kain;2008;;;;http://www.amazon.de/Selenium-Web-Applikationen-automatisiert-testen-Michael/dp/3937514570
Java Persistence with Hibernate ;Manning;Christian Bauer, Gavin King;2007;;;;http://www.amazon.de/Java-Persistence-Hibernate-Christian-Bauer/dp/1932394885
SCJA Sun Certified Java Associate Study Guide;McGrawHill;Robert J. Liguori, Edward G. Finegan;2010;;;;http://www.amazon.de/SCJA-Certified-Java-Associate-Certification/dp/0071490035
Sun Certified Java Associate;DAVINCI TECHNOLOGIES INC;C. McKenzie;2007;;;;http://www.buecher.de/shop/java/scja-sun-certified-java-associate-exam-questions-guide-by-cameron-mckenzie-passing-exam-cx-310-019/mckenzie-cam/products_products/detail/prod_id/22994794/
SCJP Sun Certified Programmer for Java 6 Study Guide (3 Exemplare);McGrawHill / Osborne;Kathy Sierra, Bert Bates;2008;;;;http://www.amazon.de/SCJP-Certified-Programmer-Study-Guide/dp/0071591060
SCJP Sun Certified Programmer for Java 5 Study Guide ;McGrawHill / Osborne;Kathy Sierra, Bert Bates;2006;;;;http://www.amazon.de/Certified-Programmer-Study-Guide-310-055/dp/0072253606
Sun Certified Web Component Developer Study Guide;Mcgraw-Hill Professional;David Bridgewater;2005;;;;http://www.amazon.de/exec/obidos/ASIN/0072258810/ref=ord_cart_shr?_encoding=UTF8&m=A3JWKAKR8XB7XF
Expert Spring MVC and Web Flow ;Computer Bookshops;Seth Ladd;2006;;;;http://www.amazon.de/Expert-Spring-Flow-Experts-Voice/dp/159059584X
JavaServer Faces: The Complete Reference;Mcgraw-Hill Professional;Chris Schalk, Ed Burns;2006;;;;http://www.amazon.de/JavaServer-Faces-Complete-Reference-Series/dp/0072262400
Pro Jakarta Velocity: From Professional to Expert;Apress;Rob Harrop;2004;;;;http://www.amazon.com/Pro-Jakarta-Velocity-Professional-Expert/dp/159059410X
Java Servlet Programming;O'Reilly;Jason Hunter;2001;;;;http://www.amazon.de/Java-Servlet-Programming-OReilly/dp/0596000405/ref=pd_sim_sbs_b_2
Professional Apache Tomcat;Wrox;Chopra, Galbraith, Li, Wiggers;2002;;;;http://www.amazon.com/Professional-Apache-Tomcat-Chanoch-Wiggers/dp/B0068EVGP0
JBoss 4.0 - offizielle Handbuch;Addison-Wesley;Fleury, Stark, Richards;2006;;;;http://www.amazon.de/JBoss-4-0-offizielle-Handbuch-Programmers/dp/3827325811
JavaScript -Einf�hrung, Programmierung und Referenz;dpunkt;Stefan Koch;2011;;;;http://www.amazon.de/JavaScript-Einf%C3%BChrung-Programmierung-Stefan-Koch/dp/3898647315/ref=sr_1_1?s=books&ie=UTF8&qid=1367310655&sr=1-1
Architect's Zend PHP 5 Certification Study Guide;Marco Tabini & Associates;Davey Shafik, Ben Ramsey;2006;;;;http://www.amazon.de/PHP-Architects-Zend-Certification-Study-Guide/dp/0973862149
The Zend PHP Certification Practice Test Book - Practice Questions for the Zend Certified Engineer Exam;Bertrams Print on Demand;John Coggeshall;2006;;;;http://www.amazon.de/Zend-Certification-Practice-Test-Book/dp/0973589884
Rapid Development: Taming Wild Software Schedules;Microsoft Press;Steve McConnell;1996;;;;http://www.amazon.de/Rapid-Development-Taming-Software-Schedules/dp/1556159005
Sicherheit und Kryptographie in Java - Einf�hrung, Anwendung und L�sungen;Addison-Wesley;Peter Lipp, Johannes Farmer, Dieter Bratko, Wolfgang Platzer, Andreas Sterbenz;2000;;;;http://www.amazon.de/Sicherheit-Kryptographie-Einf%C3%BChrung-Anwendung-Programmers/dp/3827315670
The Unified Modeling Language User Guide;Addison-Wesley Longman;Grady Booch, James Rumbaugh, Ivar Jacobson;1998;;;;http://www.amazon.de/Unified-Modeling-Language-Addison-Wesley-Technology/dp/0201571684
C-Programmieren (2. Auflage);;Kernigham, Ritchie;;;;;a
